"nzffdRecordNumber","catchmentName","waterBody","waterTemperature","minLength","samplingMethod"
109764,"Te Puru Stream","Te Puru Stream tributary",14.8,28,"Electric fishing - Combination of traps and electric fishing"
109769,"Pahurehure In","Papakura Stream tributary",12,42,"Electric fishing - Backpack"
123736,"Kaipatiki Creek","Eskdale Reserve",16.1,7,"Traps - Gee minnow"
124822,"Turanga Creek","Turanga Creek tributary",14.6,15,"Traps - Gee minnow"
124826,"Turanga Creek","Turanga Creek tributary",14.6,15,"Fyke net - Standard"
124827,"Turanga Creek","Turanga Creek tributary",14.6,15,"Fyke net - Standard"
124837,"Bream Bay","Langs Beach Stream",13.5,55,"Traps - Gee minnow"
124843,"Hatea River","Raumanga Stream",13.2,65,"Traps - Gee minnow"
124846,"Turanga Creek","Mangemangeroa Creek tributary",14.6,10,"Fyke net - Standard"
124849,"Mangemangeroa Creek","Mangemangeroa Creek tributary",14.1,15,"Fyke net - Standard"
125617,"Waihopai","Waihopai River Tributary",15,95,"Electric fishing - Backpack"
125686,"Waikato River","Karapiro Stream tributary",16,60,"Electric fishing - Backpack"
125813,"Ruamahunga River","Fensham Reserve Water Race",16,35,"Fyke net - Standard"
126643,"Granite Creek","Kimberley Creek (side trib)",12.7,87,"Observation - Spotlighting capture to ID"
126789,"Waimea inlet","Waimea inlet",17.9,30,"Observation - Spotlighting not captured to ID"
126792,"Takaka river","Waikoropupu river",17.6,10,"Electric fishing - Backpack"
127756,"Karori Stream","Karori Stream",12.8,22,"Electric fishing - Backpack"
128081,"Motupipi River","Motupipi River",14.2,40,"Observation - Spotlighting capture to ID"
128083,"Maitai River","Maitai River",15,15,"Other net - Hand net"
128084,"Maitai River","Maitai River",14,15,"Other net - Hand net"
128086,"Maitai River","Maitai River",17,20,"Other net - Hand net"
128100,"Waimea Inlet","Poorman Valley Stream",18,50,"Other net - Hand net"
128102,"Waimea Inlet","Poorman Valley Stream",17,50,"Other net - Hand net"
128220,"Maitai River","The Brook",17,20,"Other net - Hand net"
128365,"Kapitea Creek","Kapitia Creek tributary",14.6,38,"Electric fishing - Backpack"
128504,"Opaoa River","Waterlea Creek",15.2,10,"Electric fishing - Backpack"
128505,"Opaoa River","Murpheys Creek",15.5,30,"Electric fishing - Backpack"
128506,"Opaoa River","Fulton Creek",14.9,20,"Electric fishing - Backpack"
129155,"Waimea Creek","Shamrock Creek",14.1,40,"Observation - Spotlighting not captured to ID"
129498,"Smoothwater River","Sparkle Rill",9.3,25,"Observation - Spotlighting capture to ID"
129745,"Pelorus River","Tunakino River",14.8,50,"Electric fishing - Backpack"
129748,"Pelorus River","Kaiuma Stream",17.5,40,"Electric fishing - Backpack"
129749,"Pelorus River","Rai River tibutary",12.8,35,"Electric fishing - Backpack"
130092,"Araparera River","Araparera River Tributary",10.4,20,"Fyke net - Standard"
131931,"Takaka river","Takaka river",11.5,50,"Observation - Spotlighting capture to ID"
132746,"Pelorus River","Flat Creek",15.8,40,"Electric fishing - Backpack"
132747,"Pelorus River","Brown River",15.6,65,"Electric fishing - Backpack"
132748,"Pelorus River","Brown River tributary",12.9,40,"Electric fishing - Backpack"
132749,"Pelorus River","Ruapake Stream",13.4,30,"Electric fishing - Backpack"
132752,"Pelorus River","Pelorus River tributary",12.1,50,"Electric fishing - Backpack"
132755,"Pelorus River","Doom Creek",13.1,40,"Electric fishing - Backpack"
132757,"Pelorus River","Tunakino River Tributary",13,20,"Electric fishing - Backpack"
132758,"Pelorus River","Tunakino River tributary",13.4,10,"Electric fishing - Backpack"
133767,"Karaka Stream","Collarbone Road",16.3,38,"Other net - Hand net"
133864,"Orewa River","Orewa River tributary",17.694,20,"Observation - Spotlighting not captured to ID"
